[['Belltown','Belltown',656],
['Belltown','Downtown',2114],
['Belltown','Central District',4],
['Belltown','Capitol Hill',407],
['Belltown','South Lake Union',737],
['Belltown','East Lake',445],
['Belltown','First Hill',16],
['Belltown','International District',67],
['Belltown','Pioneer Square',522],
['Belltown','South Lake Union',3202],
['Belltown','University District',44],
['Belltown','UW',9],
['Belltown','Water Front',171],
['Downtown','Belltown',1656],
['Downtown','Downtown',1381],
['Downtown','Central District',17],
['Downtown','Capitol Hill',813],
['Downtown','South Lake Union',104],
['Downtown','East Lake',169],
['Downtown','First Hill',81],
['Downtown','International District',319],
['Downtown','Pioneer Square',1307],
['Downtown','South Lake Union',2960],
['Downtown','University District',10],
['Downtown','UW',7],
['Downtown','Water Front',683],
['Central District','Belltown',3],
['Central District','Downtown',53],
['Central District','Central District',3],
['Central District','Capitol Hill',71],
['Central District','South Lake Union',1],
['Central District','First Hill',23],
['Central District','International District',40],
['Central District','Pioneer Square',66],
['Central District','South Lake Union',6],
['Central District','Water Front',28],
['Capitol Hill','Belltown',1571],
['Capitol Hill','Downtown',5336],
['Capitol Hill','Central District',173],
['Capitol Hill','Capitol Hill',8954],
['Capitol Hill','South Lake Union',378],
['Capitol Hill','East Lake',851],
['Capitol Hill','First Hill',1039],
['Capitol Hill','International District',526],
['Capitol Hill','Pioneer Square',1237],
['Capitol Hill','South Lake Union',6837],
['Capitol Hill','University District',347],
['Capitol Hill','UW',215],
['Capitol Hill','Water Front',106],
['South Lake Union','Belltown',428],
['South Lake Union','Downtown',83],
['South Lake Union','Capitol Hill',79],
['South Lake Union','South Lake Union',60],
['South Lake Union','East Lake',167],
['South Lake Union','First Hill',5],
['South Lake Union','International District',4],
['South Lake Union','Pioneer Square',54],
['South Lake Union','South Lake Union',967],
['South Lake Union','University District',267],
['South Lake Union','UW',167],
['South Lake Union','Water Front',9],
['East Lake','Belltown',333],
['East Lake','Downtown',87],
['East Lake','Capitol Hill',62],
['East Lake','South Lake Union',224],
['East Lake','East Lake',454],
['East Lake','First Hill',20],
['East Lake','International District',2],
['East Lake','Pioneer Square',47],
['East Lake','South Lake Union',1419],
['East Lake','University District',203],
['East Lake','UW',212],
['East Lake','Water Front',20],
['First Hill','Belltown',132],
['First Hill','Downtown',554],
['First Hill','Central District',26],
['First Hill','Capitol Hill',1103],
['First Hill','South Lake Union',27],
['First Hill','East Lake',93],
['First Hill','First Hill',98],
['First Hill','International District',195],
['First Hill','Pioneer Square',345],
['First Hill','South Lake Union',470],
['First Hill','University District',8],
['First Hill','UW',2],
['First Hill','Water Front',12],
['International District','Belltown',26],
['International District','Downtown',207],
['International District','Central District',5],
['International District','Capitol Hill',145],
['International District','South Lake Union',6],
['International District','East Lake',2],
['International District','First Hill',49],
['International District','International District',25],
['International District','Pioneer Square',61],
['International District','South Lake Union',51],
['International District','Water Front',29],
['Pioneer Square','Belltown',219],
['Pioneer Square','Downtown',792],
['Pioneer Square','Central District',10],
['Pioneer Square','Capitol Hill',195],
['Pioneer Square','South Lake Union',50],
['Pioneer Square','East Lake',41],
['Pioneer Square','First Hill',70],
['Pioneer Square','International District',67],
['Pioneer Square','Pioneer Square',138],
['Pioneer Square','South Lake Union',507],
['Pioneer Square','University District',2],
['Pioneer Square','Water Front',524],
['South Lake Union','Belltown',2732],
['South Lake Union','Downtown',3028],
['South Lake Union','Central District',6],
['South Lake Union','Capitol Hill',1036],
['South Lake Union','South Lake Union',1269],
['South Lake Union','East Lake',1704],
['South Lake Union','First Hill',78],
['South Lake Union','International District',80],
['South Lake Union','Pioneer Square',626],
['South Lake Union','South Lake Union',10706],
['South Lake Union','University District',222],
['South Lake Union','UW',126],
['South Lake Union','Water Front',427],
['University District','Belltown',53],
['University District','Downtown',15],
['University District','Capitol Hill',86],
['University District','South Lake Union',212],
['University District','East Lake',241],
['University District','Pioneer Square',3],
['University District','South Lake Union',142],
['University District','University District',451],
['University District','UW',1149],
['UW','Belltown',4],
['UW','Downtown',33],
['UW','Capitol Hill',90],
['UW','South Lake Union',134],
['UW','East Lake',273],
['UW','International District',1],
['UW','Pioneer Square',2],
['UW','South Lake Union',121],
['UW','University District',1125],
['UW','UW',1348],
['Water Front','Belltown',88],
['Water Front','Downtown',609],
['Water Front','Central District',12],
['Water Front','Capitol Hill',9],
['Water Front','South Lake Union',2],
['Water Front','East Lake',1],
['Water Front','First Hill',2],
['Water Front','International District',11],
['Water Front','Pioneer Square',566],
['Water Front','South Lake Union',121],
['Water Front','University District',2],
['Water Front','Water Front',978]]
