"","day","hour","freq"
"1",1,1,164
"2",1,2,136
"3",1,3,151
"4",1,4,51
"5",1,5,180
"6",1,6,287
"7",1,7,315
"8",1,8,333
"9",1,9,298
"10",1,10,133
"11",1,11,101
"12",1,12,281
"13",1,13,296
"14",1,14,280
"15",1,15,206
"16",1,16,309
"17",1,17,131
"18",1,18,88
"19",1,19,273
"20",1,20,320
"21",1,21,300
"22",1,22,276
"23",1,23,214
"24",1,24,230
"25",1,25,262
"26",1,26,317
"27",1,27,249
"28",1,28,336
"29",1,29,320
"30",1,30,307
"31",1,31,224
"32",2,32,126
"33",2,33,182
"34",2,34,242
"35",2,35,212
"36",2,36,172
"37",2,37,186
"38",2,38,122
"39",2,39,179
"40",2,40,252
"41",2,41,287
"42",2,42,306
"43",2,43,325
"44",2,44,384
"45",2,45,387
"46",2,46,321
"47",2,47,249
"48",2,48,340
"49",2,49,306
"50",2,50,244
"51",2,51,260
"52",2,52,381
"53",2,53,248
"54",2,54,273
"55",2,55,280
"56",2,56,206
"57",2,57,277
"58",2,58,218
"59",2,59,365
"60",3,60,246
"61",3,61,282
"62",3,62,296
"63",3,63,327
"64",3,64,282
"65",3,65,351
"66",3,66,462
"67",3,67,417
"68",3,68,319
"69",3,69,374
"70",3,70,310
"71",3,71,416
"72",3,72,364
"73",3,73,246
"74",3,74,34
"75",3,75,304
"76",3,76,319
"77",3,77,359
"78",3,78,371
"79",3,79,302
"80",3,80,314
"81",3,81,187
"82",3,82,239
"83",3,83,361
"84",3,84,274
"85",3,85,533
"86",3,86,434
"87",3,87,306
"88",3,88,263
"89",3,89,406
"90",3,90,282
"91",4,91,375
"92",4,92,365
"93",4,93,320
"94",4,94,416
"95",4,95,304
"96",4,96,349
"97",4,97,400
"98",4,98,419
"99",4,99,456
"100",4,100,391
"101",4,101,196
"102",4,102,255
"103",4,103,221
"104",4,104,321
"105",4,105,357
"106",4,106,468
"107",4,107,624
"108",4,108,746
"109",4,109,754
"110",4,110,941
"111",4,111,583
"112",4,112,522
"113",4,113,320
"114",4,114,386
"115",4,115,455
"116",4,116,344
"117",4,117,518
"118",4,118,317
"119",4,119,339
"120",4,120,436
"121",5,121,450
"122",5,122,548
"123",5,123,472
"124",5,124,401
"125",5,125,306
"126",5,126,408
"127",5,127,556
"128",5,128,650
"129",5,129,793
"130",5,130,440
"131",5,131,445
"132",5,132,418
"133",5,133,318
"134",5,134,483
"135",5,135,548
"136",5,136,406
"137",5,137,437
"138",5,138,534
"139",5,139,509
"140",5,140,516
"141",5,141,587
"142",5,142,458
"143",5,143,537
"144",5,144,455
"145",5,145,408
"146",5,146,463
"147",5,147,618
"148",5,148,636
"149",5,149,625
"150",5,150,585
"151",5,151,538
"152",6,152,323
"153",6,153,460
"154",6,154,460
"155",6,155,564
"156",6,156,599
"157",6,157,518
"158",6,158,474
"159",6,159,567
"160",6,160,564
"161",6,161,521
"162",6,162,611
"163",6,163,559
"164",6,164,716
"165",6,165,507
"166",6,166,606
"167",6,167,596
"168",6,168,562
"169",6,169,605
"170",6,170,501
"171",6,171,556
"172",6,172,434
"173",6,173,535
"174",6,174,514
"175",6,175,568
"176",6,176,569
"177",6,177,561
"178",6,178,458
"179",6,179,404
"180",6,180,539
"181",6,181,548
"182",7,182,531
"183",7,183,606
"184",7,184,630
"185",7,185,759
"186",7,186,545
"187",7,187,646
"188",7,188,581
"189",7,189,651
"190",7,190,660
"191",7,191,648
"192",7,192,524
"193",7,193,550
"194",7,194,681
"195",7,195,642
"196",7,196,663
"197",7,197,667
"198",7,198,700
"199",7,199,686
"200",7,200,550
"201",7,201,500
"202",7,202,547
"203",7,203,648
"204",7,204,641
"205",7,205,515
"206",7,206,563
"207",7,207,363
"208",7,208,611
"209",7,209,672
"210",7,210,656
"211",7,211,597
"212",7,212,575
"213",8,213,674
"214",8,214,495
"215",8,215,636
"216",8,216,613
"217",8,217,621
"218",8,218,635
"219",8,219,640
"220",8,220,566
"221",8,221,600
"222",8,222,588
"223",8,223,597
"224",8,224,604
"225",8,225,632
"226",8,226,347
"227",8,227,550
"228",8,228,557
"229",8,229,580
"230",8,230,598
"231",8,231,638
"232",8,232,515
"233",8,233,619
"234",8,234,509
"235",8,235,430
"236",8,236,629
"237",8,237,518
"238",8,238,560
"239",8,239,583
"240",8,240,496
"241",8,241,274
"242",8,242,330
"243",8,243,412
"244",9,244,318
"245",9,245,447
"246",9,246,513
"247",9,247,439
"248",9,248,302
"249",9,249,344
"250",9,250,458
"251",9,251,409
"252",9,252,575
"253",9,253,527
"254",9,254,634
"255",9,255,514
"256",9,256,261
"257",9,257,421
"258",9,258,436
"259",9,259,476
"260",9,260,311
"261",9,261,494
"262",9,262,384
"263",9,263,316
"264",9,264,401
"265",9,265,463
"266",9,266,470
"267",9,267,547
"268",9,268,385
"269",9,269,488
"270",9,270,319
"271",9,271,504
"272",9,272,533
"273",9,273,445
"274",10,274,449
"275",10,275,434
"276",10,276,372
"277",10,277,462
"278",10,278,489
"279",10,279,397
"280",10,280,253
"281",10,281,431
"282",10,282,370
"283",10,283,127
"284",10,284,319
"285",10,285,393
"286",10,286,409
"287",10,287,491
"288",10,288,313
"289",10,289,395
"290",10,290,294
"291",10,291,399
"292",10,292,666
"293",10,293,389
"294",10,294,357
"295",10,295,141
"296",10,296,338
"297",10,297,430
"298",10,298,216
"299",10,299,252
"300",10,300,367
"301",10,301,235
"302",10,302,440
"303",10,303,227
"304",10,304,226
"305",11,305,438
"306",11,306,331
"307",11,307,237
"308",11,308,385
"309",11,309,296
"310",11,310,256
"311",11,311,345
"312",11,312,529
"313",11,313,237
"314",11,314,392
"315",11,315,270
"316",11,316,296
"317",11,317,318
"318",11,318,267
"319",11,319,245
"320",11,320,189
"321",11,321,279
"322",11,322,293
"323",11,323,341
"324",11,324,234
"325",11,325,159
"326",11,326,240
"327",11,327,207
"328",11,328,217
"329",11,329,174
"330",11,330,290
"331",11,331,122
"332",11,332,62
"333",11,333,63
"334",11,334,111
"335",12,335,205
"336",12,336,221
"337",12,337,252
"338",12,338,227
"339",12,339,209
"340",12,340,149
"341",12,341,174
"342",12,342,205
"343",12,343,236
"344",12,344,171
"345",12,345,185
"346",12,346,249
"347",12,347,208
"348",12,348,184
"349",12,349,238
"350",12,350,246
"351",12,351,191
"352",12,352,165
"353",12,353,300
"354",12,354,78
"355",12,355,141
"356",12,356,259
"357",12,357,127
"358",12,358,129
"359",12,359,149
"360",12,360,195
"361",12,361,119
"362",12,362,133
"363",12,363,176
"364",12,364,174
"365",12,365,136
